Folder,Date,Phase,Assay,Conditions,CellLine,Status,Notes
2026_04_17__RecognizedCode,2026-04-17,Observation,Imaging,TBD,TBD,Completed,Raw tile scans for stitching
2026_04_17__18_55__0347,2026-04-17,Observation,Imaging,TBD,TBD,Completed,Raw tile scans for stitching
